member,mean,std_dev,error
pp_ens_01,2.8988197300350294e-05,0.00012432622315827757,
pp_ens_02,2.896314617828466e-05,0.00012432590301614255,
pp_ens_03,2.8982743970118463e-05,0.00012439566489774734,
pp_ens_04,2.9000468202866614e-05,0.0001243033038917929,
pp_ens_05,2.896007936215028e-05,0.0001242448197444901,
pp_ens_06,2.9032480597379617e-05,0.00012455845717340708,
pp_ens_07,2.899227911257185e-05,0.0001245087041752413,
pp_ens_08,2.898491220548749e-05,0.00012432622315827757,
pp_ens_09,2.896573641919531e-05,0.000124224869068712,
pp_ens_10,2.901106927311048e-05,0.00012446856999304146,
pp_ens_11,2.8977416150155477e-05,0.00012428686022758484,
pp_ens_12,2.9009563149884343e-05,0.00012430085917003453,
pp_ens_13,2.894261160690803e-05,0.00012421378050930798,
pp_ens_14,2.9005414035054855e-05,0.00012450406211428344,
pp_ens_15,2.901725201809313e-05,0.0001245125022251159,
pp_ens_16,2.904611210396979e-05,0.0001245451858267188,
pp_ens_17,2.8979471608181484e-05,0.000124325932119973,
pp_ens_18,2.8981836294406094e-05,0.0001245689782081172,
pp_ens_19,2.9069708034512587e-05,0.00012464031169656664,
pp_ens_20,2.904573739215266e-05,0.00012449354107957333,
pp_ens_21,2.904143912019208e-05,0.00012462129234336317,
pp_ens_22,2.898372804338578e-05,0.0001243411097675562,
pp_ens_23,2.899269384215586e-05,0.00012438154953997582,
pp_ens_24,2.9025395633652806e-05,0.00012460726429708302,
pp_ens_25,2.9035601983196102e-05,0.0001245399471372366,
pp_ens_26,2.9049529985059053e-05,0.00012457079719752073,
pp_ens_27,2.9014150641160086e-05,0.00012450442591216415,
pp_ens_28,2.904518805735279e-05,0.00012466056796256453,
pp_ens_29,2.902203777921386e-05,0.00012448713823687285,
pp_ens_30,2.9090271709719673e-05,0.00012471992522478104,
