member,total_precip_mm,std_dev_mm,error
pp_ens_01,17072585728.0,2.685446262359619,
pp_ens_02,17057829888.0,2.685439348220825,
pp_ens_03,17069373440.0,2.686946392059326,
pp_ens_04,17079812096.0,2.6849515438079834,
pp_ens_05,17056022528.0,2.683687925338745,
pp_ens_06,17098664960.0,2.690462827682495,
pp_ens_07,17074989056.0,2.6893880367279053,
pp_ens_08,17070648320.0,2.6854465007781982,
pp_ens_09,17059356672.0,2.6832571029663086,
pp_ens_10,17086054400.0,2.688521146774292,
pp_ens_11,17066233856.0,2.684596061706543,
pp_ens_12,17085169664.0,2.684898614883423,
pp_ens_13,17045739520.0,2.6830177307128906,
pp_ens_14,17082724352.0,2.6892879009246826,
pp_ens_15,17089696768.0,2.689470052719116,
pp_ens_16,17106693120.0,2.690175771713257,
pp_ens_17,17067444224.0,2.6854400634765625,
pp_ens_18,17068837888.0,2.690690040588379,
pp_ens_19,17120590848.0,2.692230701446533,
pp_ens_20,17106470912.0,2.6890602111816406,
pp_ens_21,17103941632.0,2.691819667816162,
pp_ens_22,17069950976.0,2.685767889022827,
pp_ens_23,17075232768.0,2.6866414546966553,
pp_ens_24,17094493184.0,2.6915171146392822,
pp_ens_25,17100504064.0,2.6900627613067627,
pp_ens_26,17108706304.0,2.6907291412353516,
pp_ens_27,17087868928.0,2.689295768737793,
pp_ens_28,17106149376.0,2.6926684379577637,
pp_ens_29,17092514816.0,2.688922166824341,
pp_ens_30,17132700672.0,2.6939504146575928,
