member,mean_precip_mm_day,std_dev_mm_day,error
pp_ens_01,2.374302387237549,9.6659517288208,
pp_ens_02,2.3748464584350586,9.675904273986816,
pp_ens_03,2.3761188983917236,9.677854537963867,
pp_ens_04,2.374796152114868,9.681053161621094,
pp_ens_05,2.375859260559082,9.687586784362793,
pp_ens_06,2.3746938705444336,9.687915802001953,
pp_ens_07,2.3772640228271484,9.691471099853516,
pp_ens_08,2.377086639404297,9.691118240356445,
pp_ens_09,2.3796236515045166,9.703675270080566,
pp_ens_10,2.379448413848877,9.694690704345703,
pp_ens_11,2.374180316925049,9.689045906066895,
pp_ens_12,2.376518487930298,9.687856674194336,
pp_ens_13,2.378519296646118,9.697117805480957,
pp_ens_14,2.378793954849243,9.698086738586426,
pp_ens_15,2.3755061626434326,9.691801071166992,
pp_ens_16,2.382014274597168,9.712068557739258,
pp_ens_17,2.3803532123565674,9.707287788391113,
pp_ens_18,2.3812255859375,9.711403846740723,
pp_ens_19,2.3801798820495605,9.710999488830566,
pp_ens_20,2.375444173812866,9.682210922241211,
pp_ens_21,2.378810167312622,9.70737075805664,
pp_ens_22,2.3813843727111816,9.7163667678833,
pp_ens_23,2.38033127784729,9.715426445007324,
pp_ens_24,2.381333589553833,9.714529991149902,
pp_ens_25,2.3789501190185547,9.702219009399414,
pp_ens_26,2.3811357021331787,9.713577270507812,
pp_ens_27,2.383291006088257,9.706830024719238,
pp_ens_28,2.3786871433258057,9.716779708862305,
pp_ens_29,2.3767454624176025,9.701584815979004,
pp_ens_30,2.3792335987091064,9.696889877319336,
