member,total_precip_mm,std_dev_mm,error
pp_ens_01,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_02,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_03,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_04,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_05,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_06,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_07,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_08,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_09,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_10,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_11,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_12,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_13,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_14,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_15,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_16,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_17,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_18,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_19,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_20,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_21,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_22,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_23,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_24,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_25,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_26,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_27,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_28,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_29,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
pp_ens_30,N/A,N/A,conflicting values for variable 'average_DT' on objects to be combined. You can skip this check by specifying compat='override'.
