member,total_precip_mm,std_dev_mm,error
pp_ens_01,16184047616.0,2.4164879322052,
pp_ens_02,16187755520.0,2.418976068496704,
pp_ens_03,16196427776.0,2.419463872909546,
pp_ens_04,16187413504.0,2.4202632904052734,
pp_ens_05,16194662400.0,2.4218966960906982,
pp_ens_06,16186715136.0,2.4219789505004883,
pp_ens_07,16204234752.0,2.422867774963379,
pp_ens_08,16203026432.0,2.4227795600891113,
pp_ens_09,16220317696.0,2.4259190559387207,
pp_ens_10,16219122688.0,2.423672676086426,
pp_ens_11,16183216128.0,2.4222614765167236,
pp_ens_12,16199152640.0,2.421964168548584,
pp_ens_13,16212790272.0,2.4242794513702393,
pp_ens_14,16214664192.0,2.4245214462280273,
pp_ens_15,16192251904.0,2.422950267791748,
pp_ens_16,16236613632.0,2.4280171394348145,
pp_ens_17,16225291264.0,2.4268219470977783,
pp_ens_18,16231238656.0,2.4278509616851807,
pp_ens_19,16224110592.0,2.4277498722076416,
pp_ens_20,16191830016.0,2.4205527305603027,
pp_ens_21,16214773760.0,2.42684268951416,
pp_ens_22,16232321024.0,2.429091691970825,
pp_ens_23,16225142784.0,2.428856611251831,
pp_ens_24,16231975936.0,2.4286324977874756,
pp_ens_25,16215728128.0,2.4255547523498535,
pp_ens_26,16230626304.0,2.428394317626953,
pp_ens_27,16245316608.0,2.4267075061798096,
pp_ens_28,16213936128.0,2.429194688796997,
pp_ens_29,16200698880.0,2.425396203994751,
pp_ens_30,16217659392.0,2.424222469329834,
