member,mean,std_dev,error
pp_ens_01,3.081579052377492e-05,0.00012796561350114644,
pp_ens_02,3.079794623772614e-05,0.00012798287207260728,
pp_ens_03,3.082336115767248e-05,0.0001280635769944638,
pp_ens_04,3.083462797803804e-05,0.0001279530843021348,
pp_ens_05,3.079761518165469e-05,0.00012790487380698323,
pp_ens_06,3.086761353188194e-05,0.0001282140874536708,
pp_ens_07,3.083187039010227e-05,0.00012817700917366892,
pp_ens_08,3.082130569964647e-05,0.00012798327952623367,
pp_ens_09,3.081473187194206e-05,0.000127905877889134,
pp_ens_10,3.08452763420064e-05,0.00012812239583581686,
pp_ens_11,3.081547765759751e-05,0.00012794691429007798,
pp_ens_12,3.084775744355284e-05,0.00012795715883839875,
pp_ens_13,3.0779396183788776e-05,0.00012787379091605544,
pp_ens_14,3.0843395506963134e-05,0.00012816723028663546,
pp_ens_15,3.0854927899781615e-05,0.0001281737204408273,
pp_ens_16,3.0882798455422744e-05,0.0001282015145989135,
pp_ens_17,3.081342947552912e-05,0.00012797897215932608,
pp_ens_18,3.0818475352134556e-05,0.00012823495490010828,
pp_ens_19,3.0914281524019316e-05,0.0001283119199797511,
pp_ens_20,3.089032543357462e-05,0.0001281636650674045,
pp_ens_21,3.087994264205918e-05,0.00012828432954847813,
pp_ens_22,3.082585317315534e-05,0.0001280100259464234,
pp_ens_23,3.083205592702143e-05,0.0001280451542697847,
pp_ens_24,3.086121068918146e-05,0.00012826680904254317,
pp_ens_25,3.088307494181208e-05,0.0001282186567550525,
pp_ens_26,3.0884086299920455e-05,0.0001282233279198408,
pp_ens_27,3.085864955210127e-05,0.0001281791483052075,
pp_ens_28,3.087744698859751e-05,0.00012831216736231,
pp_ens_29,3.085744538111612e-05,0.00012814240471925586,
pp_ens_30,3.092736005783081e-05,0.00012837666145060211,
