member,mean,std_dev,error
pp_ens_01,nan,nan,
pp_ens_02,0.010434355586767197,0.00033242953941226006,
pp_ens_03,nan,nan,
pp_ens_04,nan,nan,
pp_ens_05,nan,nan,
pp_ens_06,0.01031937450170517,9.474746912019327e-05,
pp_ens_07,nan,nan,
pp_ens_08,nan,nan,
pp_ens_09,nan,nan,
pp_ens_10,nan,nan,
pp_ens_11,nan,nan,
pp_ens_12,nan,nan,
pp_ens_13,0.01039170566946268,0.0,
pp_ens_14,0.010549566708505154,0.0,
pp_ens_15,nan,nan,
pp_ens_16,nan,nan,
pp_ens_17,nan,nan,
pp_ens_18,0.010386715643107891,0.0,
pp_ens_19,nan,nan,
pp_ens_20,nan,nan,
pp_ens_21,nan,nan,
pp_ens_22,0.011453424580395222,0.0,
pp_ens_23,0.01067817397415638,0.00011082040145993233,
pp_ens_24,nan,nan,
pp_ens_25,nan,nan,
pp_ens_26,nan,nan,
pp_ens_27,nan,nan,
pp_ens_28,0.010029071941971779,0.0,
pp_ens_29,nan,nan,
pp_ens_30,nan,nan,
